Pathway	pVal	zScore	Genes	type
Stabilization of protein	5.32330639037513	0	ATF7IP,RPL23,PIK3R1,RPL5,SMAD3,CANX,DDOST,RASSF2,CD81,RPL11,HIP1R,RPS7,FBXO7,PPIB,MT3,CALR,LAMP1,CCT8,CCNH,SH3GLB1,CLU,HSPA5,LRRK2,PFN2,SOX4,NEDD4L,NACA,PLPP3	Functional
Abnormal morphology of cerebellar cortex	5.31515463835559	0	CDKN2C,AHI1,NFIA,CACNA1A,CSMD3,GPR37L1,ANK3,MAP2,PRNP,CNTN1,CCND1,GRID2,MAP1B,PSAP,SLC1A3,UGT8,ASTN1	Functional
Early breast cancer	5.31247103878537	0	JUN,FGFR1,ERBB4,TUBB3,HSP90B1,CHD1,FDFT1,TUBB4B,TUBB2A,TUBA1A,NR3C1,BAX,ERBB3,CDK6	Functional
Global developmental delay	5.31158017799729	0	SATB1,FGFR1,SYT1,CASK,SMARCA4,SNRNP70,TUBB2A,GRIA3,TUBA1A,PHF6,LRP1,FZD3,SLC6A1,GRIA4,UGDH,DEGS1,JMJD1C,DYNC1I2,SOX5,SET,OPHN1,EEF1B2,CACNA1A,COL9A1,ANK3,CALR,KDM1A,SYNE1,PEX10,SCN2A,CCDC47,VCP,BCL11A,KDM6B	Functional
Acute lymphoblastic leukemia	5.30277065724028	0	BTG1,IRF1,FGFR1,RPL7A,ATF7IP,TUBB3,SMARCA4,PNN,IFNAR1,LRP1B,SPRED1,TEK,NFIC,DTNA,TUBA1A,PHACTR3,PCDH15,AGAP1,ASXL1,DOCK9,RND3,PTPRZ1,TET1,ADGRB3,PDGFRA,DIO3,PCDH7,RPL22,RTN1,SLC1A2,NOVA1,DGCR2,TUBB4B,NEU4,FAM110B,PLPPR5,ADD3,ANK3,CHL1,COL11A1,NR3C1,RHOB,VCAN,DCX,GRID2,MAGI1,BAX,NEDD4L,IDH2,JUN,LGALS1,TSPAN7,RBMX,PIK3R1,PDE4B,H2AX,ZFP36L2,NREP,TUBB2A,NLGN1,PHF6,TP53I11,TRIO,CDKN1A,NTRK3,NTRK2,UGT8,RAB10,GRM5,ELMO1,GADD45G,NRXN2,FCHSD2,HDAC2,BCL11B,CAMK2N1,SRSF2,RAMP2,SON,NRXN1,LAMP1,ADGRB1,PTPRD,HSPA5,SYNE1,DPYSL3,SCN2A,MCAM,DSEL,RPL10,FIP1L1	Functional
Invasive breast cancer	5.29843201494407	0	FGFR1,ERBB4,SAMD4A,AASS,TUBB3,CHD1,PKM,PNN,TEK,TUBA1A,SMAD3,LUZP2,WDR1,ASXL1,FERMT2,TET1,APOD,PCDH7,FNBP1L,HSP90B1,PABPC1,ZEB1,TUBB4B,BLM,RBM39,COL11A1,NR3C1,MAP3K1,CCND1,SSPN,GPC2,ERBB3,MGLL,YWHAQ,CCN1,AKT3,CALM1 (includes others),MCL1,LGALS1,CSMD3,PEA15,TUBB2A,COL9A3,LIMA1,TRIO,CDKN1A,NTRK3,PSAP,NTRK2,CDK6,HDAC2,RPN2,TUBB,ANKRD36C,FDFT1,IGF2,SHTN1,EGR3,HES4,SYNE1,PTPRE,HNRNPA2B1,TRA2B	Functional
Abnormal morphology of corpus callosum	5.29843201494407	0	DCLK1,ROBO1,APP,NFIA,ARX,APBB2,MAP2,NPAS3,MAP1B,ST8SIA2,DRAXIN,CD81	Functional
Locally advanced nonsquamous non-small cell lung cancer	5.29843201494407	0	FGFR1,ERBB4,PDGFRA,TUBB3,HSP90B1,TUBB4B,TUBB2A,TUBA1A,NTRK3,NTRK2,ERBB3,TNK2	Functional
Morphology of body cavity	5.29756946355447	0	IRF1,SATB1,ERBB4,CCNG1,SMARCA4,HNRNPL,SCGN,IFNAR1,FOS,JUND,KCND2,FERMT1,LRP1,SGCB,CLCN3,TXNIP,DIO3,CDKN2C,HSP90B1,PDLIM5,ITGB8,NFIA,TIMP2,PRRX1,CALR,CD47,DPP7,ETV5,CLU,MAP3K1,CTSC,BAX,ERBB3,HES1,BCL11A,COL9A2,JUNB,JUN,EPN2,MCL1,EPHA3,SERPINE2,CALCRL,ARHGDIA,NTRK3,SLC1A3,NTRK2,CDK6,ELMO1,LAMA4,NT5E,BMP7,OLFM1,HDAC2,MAP4K4,BCL11B,KLF6,TXN,ROBO1,CHRM3,IGFBP2,KAZN,PLAT,EGR1,B2M,IGF2,P2RX7,TSC22D1,NNAT,TIAL1,FNIP1,ATP6AP2,FGFR1,ITGAV,SPRY2,TEK,DTNA,STAT3,MTSS1,SMAD3,FAU,ZFP36L1,SRSF10,ACTN4,ASXL1,CTSD,NKX2-2,RASSF2,CD81,BRD2,FGF12,PDGFRA,GFRA1,RBP1,ZEB1,APP,ATP2A2,ANK3,DNAJC3,NR3C1,CCND1,RHOB,SOX9,PPP1R15A,DUSP6,LRRK2,SOX4,NEDD4L,MGLL,AFF4,AKT3,SEMA3E,AFDN,ASAH1,TIMP4,PIK3R1,XYLT1,ZFP36L2,PTN,XRCC5,KRT10,CDKN1A,MAFG,PSAP,PNPLA8,MPC1,EHD4,TRAF4,BSCL2,MIF,PNKD,PON2,GADD45G,HMGA1,SOX6,IRS2,JAG1,SERTAD1,SRSF2,SAT1,FDFT1,PLAAT1,SIRT2,ARX,RAMP2,AKT2,SPARC,IL6ST,CSDE1,ATF4,SPPL2A,PBX1,SOX11,NPAS3,SYNE1,TIMP3,EGR2,TIMP1,KCNJ10,DAB2,KDM6B,NFE2L2	Functional
Hereditary neuropathy	5.28735029837279	0	FTL,ERBB4,HINT1,TUBB3,KIF21A,ASAH1,EEF1A2,PHF6,MAP1B,ARL6IP1,PSAP,BSCL2,SOX2,SEMA5A,KCNMA1,MYT1,UCHL1,TUBB,JAG1,SLC1A2,SLC44A1,FBXO7,CACNA1A,SON,VWA1,HADHB,P2RX7,SOX10,LAMP1,HNRNPA1,ARPP21,CLU,PLP1,SYNE1,PEX10,CHCHD10,SCN2A,SEPTIN9,EGR2,ABHD12,ERBB3,VCP,LRRK2,HNRNPA2B1,KDM6B	Functional
Ohtahara syndrome	5.28735029837279	0	NRXN2,SCN3A,FGF12,HNRNPU,PCDH19,SLC1A2,EEF1A2,ARX,CACNA1A,RNF13,KCNQ2,HYI,SCN1A,SCN2A,BSCL2,DENND5A,TNK2,UGDH	Functional
Disorder of pregnancy	5.28316227670048	0	CRNDE,IFNAR1,ENC1,PCF11,TUBA1A,FKBP2,ST6GAL1,FERMT1,SKIL,MYO10,PEG10,HSP90B1,ITGB8,PRRX1,COL16A1,ARPP21,BCLAF1,GPC2,HES1,EPN2,MCL1,SULF2,LGALS1,EPHA3,THY1,PDE4B,CKB,TEAD2,CXXC4,TUBB2A,CALCRL,NTRK3,SLC6A1,LAMA4,CDH13,SPCS2,SRRM2,NAXE,PLAT,B2M,PPP2R2A,IGF2,P2RX7,SHTN1,PLPP3,PSAT1,ITGAV,TUBB3,GNG7,LRP1B,TAC3,TEK,STAT3,ZFP36L1,RND3,FIBIN,SEMA5A,CD81,RPL39,GUCY1A2,ATP2A2,DDAH2,TUBB4B,DNAJC3,SCN1A,NR3C1,RHOB,CSPG4,RPL27,YWHAQ,TCEAL9,FHL1,RARRES2,NLGN1,CANX,USP24,PAFAH1B3,MIF,SDC3,AMD1,TUBB,SRSF2,ANXA5,SPARC,IL6ST,RPS3,CSDE1,CCDC50,SPPL2A,PTPRD,SOX11,NPAS3,SYNE1,DPYSL3,EGR2,MCAM,TIMP1,NFE2L2	Functional
Uterine serous carcinoma	5.28316227670048	0	SEL1L3,TUBB3,GPM6A,EEF1A2,PIK3R1,CRABP1,INA,TEK,TUBB2A,PTN,TUBA1A,LAMA4,ITM2A,PLLP,CDH13,HMGA1,KCNMA1,KPNA2,UCHL1,PDGFRA,APOD,HSP90B1,ZEB1,ITGB8,TUBB4B,SPOCK2,PLP1,PDZRN3,CSPG4,ERBB3,RAMP1	Functional
Recurrent advanced cancer	5.25649023527157	0	FGFR1,HDAC2,ERBB4,PDGFRA,TUBB3,HSP90B1,IFNAR1,TUBB4B,TUBB2A,TUBA1A,NR3C1,NTRK3,NTRK2,ERBB3,CDK6,TNK2	Functional
Stage III-IV advanced non-small cell lung cancer	5.25649023527157	0	FGFR1,ERBB4,PDGFRA,TUBB3,HSP90B1,TUBB4B,TUBB2A,TUBA1A,CLU,NR3C1,NTRK3,NTRK2,ERBB3,CDK6,NT5E,TNK2	Functional
Overgrowth syndrome	5.23957751657679	0	SCN3A,AKT3,TUBB3,SLC1A2,APP,PIK3R1,AKT2,SPRED1,TUBB4B,TUBB2A,TUBA1A,CCNH,SCN1A,SCN2A,CDKN1C,CSPG4,SLC1A3,IDH2	Functional
Advanced EGFR mutation negative lung squamous cell carcinoma	5.22914798835786	0	TUBB2A,FGFR1,TUBA1A,ERBB4,TUBB3,HSP90B1,NTRK3,ERBB3,TUBB4B	Functional
TNM stage M0 non-small cell lung carcinoma	5.22914798835786	0	TUBB2A,TUBA1A,ERBB4,PDGFRA,TUBB3,HSP90B1,ERBB3,TNK2,TUBB4B	Functional
Metastatic estrogen receptor positive breast cancer	5.22694530663574	0	TUBB2A,HDAC2,TUBA1A,ERBB4,TUBB,TUBB3,NR3C1,CHD1,ERBB3,CDK6,TUBB4B	Functional
Locally advanced head and neck carcinoma	5.22112552799726	0	FGFR1,ERBB4,PDGFRA,TUBB3,HSP90B1,TUBB4B,TEK,TUBB2A,TUBA1A,NTRK3,NTRK2,ERBB3	Functional
Unresectable locally advanced non-small cell lung cancer	5.22112552799726	0	FGFR1,ERBB4,TUBB3,HSP90B1,TUBB4B,TUBB2A,TUBA1A,NTRK3,NTRK2,ERBB3,NT5E,TNK2	Functional
Ovarian adenocarcinoma	5.21324857785444	0	LRRN1,SCN3A,DCLK1,SMARCA4,PKM,STARD7,ENC1,TUBA1A,LUC7L3,NUCB1,BRINP3,DDX39A,LRP1,GRIA4,NTM,MYO10,TXNIP,ADGRB3,CDKN2C,HSP90B1,GPM6B,NAV2,PABPC1,NFIA,FAM110B,FOXG1,CD47,CHL1,CLU,MAP3K1,VCAN,BCLAF1,CD24,ERBB3,EVL,TNK2,EPHA3,POLR1D,TUBB2A,CDH10,NTRK3,FZD3,NTRK2,CELF4,MAP4K4,RPN2,ANKRD36C,CHRM3,IGFBP2,FBXO7,B2M,CACNA1A,NRXN1,CREBRF,TM4SF1,CLK1,LTBP3,PHLDA1,HSPA9,NEFM,SEPTIN9,CCDC47,OLA1,HNRNPA2B1,TRA2A,DNM3,LAPTM4A,FGFR1,TUBB3,CHD1,LRP1B,IGSF21,DTNA,TNR,SPATA6,RGCC,GDAP1L1,PCDH15,ACTN4,ASXL1,DOCK9,MTDH,ASTN1,SEMA5A,TET1,PDGFRA,CALB2,CPEB4,ZEB1,ASB3/GPR75-ASB3,TUBB4B,BLM,RBM39,CREB5,ITM2C,SCN1A,COL11A1,NR3C1,CSPG4,PDIA3,SREK1,LRRK2,NEDD4L,ABHD2,MMP16,LINGO1,MYO3A,ASAP1,PIK3R1,CSMD3,H2AX,KCNQ2,NLGN1,COL20A1,PHF6,XRCC5,GRIA2,CDKN1A,NLGN3,CC2D1A,JMJD1C,IRS2,TUBB,JPT1,ETFB,RRBP1,OPHN1,EEF1B2,ARL4C,AKT2,SON,STMN1,PBX1,PTPRD,SOX11,COPA,NPAS3,SYNE1,TIMP3,SCN2A,CPE,EGR2,MCAM,DAB2,TRA2B,NFE2L2	Functional
Refractory metastasis	5.21183162885883	0	FGFR1,PDGFRA,TUBB,MAP4K5,TUBB3,HSP90B1,TUBB4B,TEK,TUBB2A,TUBA1A,NTRK3,NTRK2,ERBB3,CDK6,TNK2	Functional
Advanced ovarian tumor	5.19517932127884	0	TXNIP,PDGFRA,CALB2,TUBB3,HSP90B1,CACNA1A,ARL4C,H2AX,TUBB4B,TUBB2A,DTNA,TUBA1A,NR3C1,VCAN,RGCC,MCAM,CD24,FZD3,DAB2,TRA2A	Functional
Refractory leukemia	5.19517932127884	0	FGFR1,PDGFRA,MAP4K5,TUBB3,RPL11,RPS24,TUBB4B,TEK,ZFP36L2,RPS12,RPL6,TUBB2A,TUBA1A,NR3C1,CCND1,RPL34,RPS4X,TNK2,IDH2,RPS25	Functional
Stage IIIB-IV advanced non-small cell lung adenocarcinoma	5.1944991418416	0	TUBB2A,FGFR1,TUBA1A,ERBB4,PDGFRA,TUBB3,HSP90B1,ERBB3,TNK2,TUBB4B	Functional
Large-cell lymphoma	5.18842499412941	0	JUN,BTG1,IRF1,PSAT1,PHGDH,ERBB4,MCL1,TUBB3,EPHA3,CHD1,SF1,SMARCA4,PIK3R1,LRP1B,TUBB2A,STAT3,TUBA1A,ZFP36L1,SPECC1,SEMA5A,BRD2,HDAC2,RPN2,HSP90B1,SRSF2,PABPC1,EGR1,B2M,AFAP1L2,CD70,TUBB4B,SOX10,SOX11,TSC22D1,CLU,NR3C1,CCND1,PDZRN3,PDIA3,MGLL	Functional
Recurrent gastrointestinal carcinoma	5.18508681872493	0	FGFR1,ERBB4,PDGFRA,TUBB3,HSP90B1,TUBB4B,TUBB2A,TUBA1A,NTRK3,NTRK2,ERBB3,CDK6,TNK2	Functional
RBM5-AS1 Signaling	2.59687947882418	-0.005	CCND1,JUN,RBM5,SOX2	Upstream
Proliferation of central nervous system cells	6.67985371388895	-0.012	AKT3,INSM1,DNER,TEK,ASCL1,DLGAP4,CDKN1A,NTRK3,CXCL16,NAP1L1,SOX2,SKIL,SOX5,IGFBP2,S100B,NFIA,ARX,AKT2,GPR37L1,MT3,KHDRBS1,FOXG1,KDM1A,PRNP,SOX11,CLU,NPAS3,VCAN,CPE,HES1	Functional
Cancer of secretory structure	29.4001169279263	-0.016	SCN3A,NTSR1,ERBB4,METRN,RPS24,ANXA6,RPS5,PAK3,DDX39A,PPA1,LUZP2,RSRC2,FNBP1L,SLC1A2,CEP170,CALR,FOXG1,DPP7,SLF2,MAP3K1,BAX,ERBB3,TAF1D,CCN1,SYT1,DNAJC1,RAB6A,SELENOM,COL9A3,RPL22L1,RPS3A,CELF4,RNF157,OLFM1,CDH13,PLEKHB1,SPCS2,RDH11,NASP,TXN,NAXE,SET,KLF3,RAB3A,HSPA9,SAPCD2,SHTN1,CHDH,ACSL3,TUBB2B,PTPRE,SAMD4A,REEP3,BORCS7,CERS4,STAT3,EEA1,SH3BGRL3,SPATA6,SRSF10,DOCK9,ASTN1,SEMA5A,SLC44A1,CCDC85B,PPP1R9A,EIF4G2,KIF13A,DNAJC3,NKAIN3,CCND1,UBB,TMEM59L,SP9,NAV1,PLPPR1,GRIA3,IGFBPL1,COL20A1,RBM5,PNPLA8,USP24,EHD4,TANC1,FAM3C,DDX17,HMGA1,FCHSD2,CBX1,SRSF7,PPIB,OPHN1,ARL4C,ARC,PTPRD,SOX11,CHCHD10,SEZ6L2,DRAXIN,DCLK1,SBDS,IFNAR1,STARD7,PCF11,NAP1L1,PEG10,OLIG2,NAV2,FABP7,TIMP2,KANK1,BRD7,CTSC,HES1,COL9A2,NDRG2,CD82,INA,QDPR,CDH10,IL1RAP,NRXN2,HDAC2,SRRM2,IGFBP2,LTBP3,KDM1A,RPL24,HEPACAM,CCDC47,PSAT1,SCAF11,ASIC1,CASK,STC1,DUSP26,XKR4,ASCL1,EMC10,ATG101,TUBB4B,KHDRBS1,MAGI1,LNX1,EIF3F,ARL4A,MMP16,MYO3A,AFDN,HNRNPF,PIK3R1,TMEM123,BCAN,MPC1,NLGN3,PGM3,TRAF4,SRSF2,ACAA1,AKT2,SON,SHC3,NPAS3,VAPA,KCNJ10,BAALC,TCEAL1,DLX5,SATB1,MAT2A,LUC7L3,UXT,FKBP2,LRP1,WDR1,HNRNPDL,FERMT2,KCNMA1,HSP90B1,TNFRSF21,DPYSL2,TAOK3,CSPG5,SPOCK2,RNF13,BCLAF1,SSPN,ATCAY,SRSF3,EPN2,NLGN4X,EPHA3,ASRGL1,GPR155,RBBP7,RHOC,THY1,CRABP1,BCAS1,CXXC4,LRATD1,RBM25,ID4,TMEM9B,NTRK3,CDK6,RAB10,SLC6A1,PLOD2,BCL11B,TM9SF3,PTMS,FARP2,PHLDA1,TSPAN3,GSE1,RCOR2,GTPBP6,PRPF4B,PFN2,DNM3,PSD3,ATF7IP,ING3,CD320,SPRY2,EEF1A2,PRKACB,LRP1B,CRISPLD1,ACTN4,CNN3,CTSD,SOX2,TET1,PDGFRA,DDAH2,MLLT11,COL9A1,PRKX,BLM,AKAP7,RPL7,CSPG4,PDIA3,DUSP6,VCP,NEDD4L,RPS27,GPM6A,SF1,TIMP4,ZC3H6,CLPTM1,H2AX,BEX2,ZNF385D,SNX1,ARF5,PAFAH1B3,OLFM2,DENND5A,RPL18A,ITM2A,DYNC1I2,IRS2,TUBB,PPP1R12A,TRAPPC1,SERTAD1,DDAH1,SPPL2A,ANKS1B,KIF21A,CCNG1,PSMA7,KCND2,KLC1,KIFC3,RPS11,PHACTR3,GRIA4,LRPAP1,WSCD1,RPL19,SKIL,NTM,MYT1,RPLP2,AHI1,GAL3ST1,GALNT10,GPC2,IDH2,JUNB,JUN,GOLGA8A/GOLGA8B,CALM1 (includes others),STMN4,PDE4B,RPS20,SLC3A2,COX7A2,BTG3,SLC1A3,ELMO1,COBL,MBP,RACK1,KLF6,ANKRD36C,KAZN,RALYL,RPS14,TM4SF1,CNTN1,PLPPR3,PDZRN3,FAIM2,RAMP1,NDUFAF8,OLIG1,TCAF1,RPL32,CHD1,RPL37A,DNER,IGSF21,TAC3,MTSS1,MAP1B,PCDH15,TRIM9,ASXL1,CD81,GUCY1A2,DNAJB1,RAB31,CDC42SE1,LHFPL3,RAP1GAP,ANK3,GPAA1,APBB2,TTC3,CREB5,TTC9B,STK32B,SOX4,P4HB,KDM5B,SNX3,LINGO1,AFF4,PHGDH,AKT3,LRRTM3,ASAH1,SELENOK,ZFYVE16,SNRNP70,HYI,DLGAP4,PHF6,XRCC5,TRIO,ARL6IP1,CC2D1A,FSCN1,HIP1R,FDFT1,ARX,FAM89B,CSDE1,CCDC50,ATF4,DLX6,HSPA5,SLC2A13,SCN2A,GAD2,EGR2,SLC22A17,TRA2B,SMARCA4,HNRNPL,RPL26,ENC1,ARGLU1,RPL8,ADI1,ARL2BP,ST8SIA2,ATP5F1E,EPC1,GPM6B,PABPC1,NOVA1,CD70,ENAH,SMAP2,SFPQ,OPCML,CD24,UQCRB,ARFGAP2,INSM1,SULF2,TSPAN7,SPRY4,MRPS26,GPSM2,SLC18B1,SPECC1,PCDH17,C7orf50,PLAT,EGR1,CACNA1A,NRXN1,BBLN,CELF2,TMEM59,RPL7A,RPL23,SLC35F1,SNX22,CPM,NSG1,SYT11,RPS29,RPS7,DGCR2,ITM2C,COL11A1,RPL36,NENF,RPS15,CSNK1A1,ARMCX6,RARRES2,CSMD3,TRIM47,PTN,C1QL1,MAFG,SYNPR,SOX6,AMD1,BAMBI,RBM3,ADGRL3,TMSB10/TMSB4X,NARF,ETV1,PKM,NCAM2,PODXL2,JUND,GLTP,ST6GAL1,PID1,RPL29,LAGE3,ACAP3,SGCB,CPXM1,PGM1,ADGRB3,APOD,SOX5,VWA1,NEU4,PRRX1,OAT,CHL1,ETV5,ARPP21,VCAN,RPS27A,RPL15,TNK2,RPS27L,HNRNPU,FNDC4,RBMX,LDLRAD4,MYADM,TEAD2,TP53I11,BMP7,UGDH,RPN2,BRD3,RAB5A,BCHE,AFAP1L2,CLK1,PDZD2,KDELR2,ZCCHC24,TSC22D1,MDGA2,SH3GLB1,RPS4X,OLA1,LAPTM4A,NACA,BTG1,ITGAV,CLSTN1,CHADL,PCDH9,BASP1,TEK,SMAD3,ANP32B,CDKN1C,KCNIP1,AGAP1,BRD2,SRSF6,PIK3R3,CALB2,GFRA1,RPL35,RBP1,RPL22,ZEB1,APP,MAFF,ABHD2,FHL1,C1orf21,XYLT1,JMJD1C,JAG1,ETFB,CAMK2N1,RRBP1,SERPINB6,SPARC,IL6ST,CCNH,TIMP3,MCAM,TIMP1,DDT,HERPUD1,TSC22D4,IRF1,SOX8,MAP4K5,ADGRA1,SP8,FOS,TUBA1A,EIF3E,PCSK7,CLCN3,MYO10,ZBED1,RPS18,PCDH7,CDKN2C,ITGB8,KLHDC8A,CD47,APPL1,HNRNPA1,COL16A1,CLU,BCL11A,VSTM2B,TMEM106B,LGALS1,CLIC1,DLX2,CMC2,DNPH1,GRM5,TOX3,ZNF649,RPS25,TMBIM6,PPP2R2A,IGF2,LAMP1,OS9,HES6,ITM2B,PLPP3,FGFR1,SEL1L3,DMPK,NRCAM,TUBB3,ZNF397,GPC6,DTNA,ASIC4,SBK1,MLEC,CXCL16,APMAP,ZFAND6,B3GAT2,NKX2-2,RASSF2,CCNI,FGF12,RPL11,PCDH19,RBM39,NAA38,SOX9,PPP1R15A,DPP10,CHPT1,MGLL,ASAP1,SEMA3E,TMEM87A,ZFP36L2,RPL12,KCNQ2,KRT10,RTRAF,GOLM1,RPL31,DLX1,RIN2,PRTFDC1,NKAIN4,ANXA5,SAT1,SSBP3,RAMP2,CPE,SYMPK,DSEL,MRPL42,PNN,CNP,NFIC,RPS19,RBIS,BRINP3,FERMT1,VMP1,EMP2,SUSD5,LRRC4C,TMEM256,PDLIM5,RTN1,H3-3A/H3-3B,NFIA,CLDND1,ADD3,RPS12,GRID2,EIF3H,PLEKHH2,CACNG4,ST3GAL6,MCL1,SERPINE2,CRMP1,GATM,NTNG1,CKB,RPL6,TUBB2A,PCDH10,DSCAM,PDLIM2,CALCRL,FZD3,TRIB2,NTRK2,RPL4,MLF2,LAMA4,NT5E,MAP4K4,NICOL1,HM13,ROBO1,CHRM3,B2M,RPS2,CREBRF,HADHB,P2RX7,SNRPD2,CHID1,PXDC1,ADGRB1,CA10,NNAT,SLITRK2,HES4,TM7SF2,NEFM,RPL34,FNIP1,LYPD1,HNRNPA2B1,ATP6AP2,PAXX,TRA2A,FIP1L1,KAT2B,NME3,DCXR,PLD3,HTRA1,MAP2,TNR,GLUD1,FAU,GDAP1L1,ATP6V0E1,DDOST,CCNL1,FIBIN,PTPRZ1,RPS6,DBN1,ASB3/GPR75-ASB3,EIF3L,ATP2A2,IFITM10,CTTNBP2,SOX10,SCN1A,ANKRD28,NR3C1,MPZL1,RNASEH2C,ABHD12,MRPS21,PGRMC1,LRRK2,SLC32A1,YWHAQ,TJP1,TMEM132B,RPL9,NLGN1,GRIA2,CDKN1A,PSAP,CANX,RPS8,TMSB15A,CCDC112,BSCL2,MIF,PNKD,TMED9,NONO,DEGS1,NPDC1,SCG3,KPNA2,JPT1,RPL21,RPL13,ATP2B1,EEF1B2,RPS3,TAGLN3,CCT8,PBX1,EGR3,COPA,SYNE1,PEX10,DPYSL3,KDM6B,NFE2L2	Functional
ADCYAP1 Signaling	3.52143350440616	-0.017	ADD3,CCNI,CNN3,EGR1,EGR2,EGR3,FOS,IDH2,IRF1,LRPAP1,MCAM,NTRK2,RGCC,RHOB,SERPINE2,SLC1A2,SLC1A3,SPARC,TMSB10/TMSB4X,TSC22D1,TUBB2B	Upstream
corticosterone Signaling	1.57511836336893	-0.023	APP,ARC,ATP2B1,CCND1,CDKN1A,FOS,HSPA5,JUN,NR3C1,SLC1A2,TIMP1,TIMP4	Upstream
Differentiation of stem cells	7.74472749489669	-0.026	SATB1,FGFR1,TEK,STAT3,ASCL1,SMAD3,SOX2,OLIG2,PDGFRA,HSP90B1,SOX5,APP,FABP7,MLLT11,EIF4G2,APPL1,NR3C1,CCND1,SOX9,PPP1R15A,HES1,LRRK2,JUN,AFF4,PHGDH,GPM6A,HNRNPU,ASAH1,TEAD2,ZFP36L2,DLX2,CDK2AP1,PTN,XRCC5,CDKN1A,CDK6,DLX1,GADD45G,BMP7,SOX6,JAG1,BRD3,NRXN1,RPS14,IL6ST,SHC3,LTBP3,HSPA9,SOX11,OLIG1,NFE2L2	Functional
Apoptosis of hippocampal cells	5.83863199776502	-0.027	PRNP,KLF6,KCND2,NTRK3,APP,BAX,PLAT,NTRK2,P4HB,RPS3	Functional
Epilepsy or neurodevelopmental disorder	18.5718652059712	-0.029	SCN3A,SATB1,SMARCA4,STARD7,ENC1,FOS,TUBA1A,LUC7L3,KCND2,GRIA4,CLCN3,KCNMA1,HSP90B1,SOX5,NAV2,H3-3A/H3-3B,SLC1A2,DPYSL2,TAOK3,NFIA,RNF13,KANK1,FOXG1,CLU,HES1,BCL11A,TNK2,JUNB,JUN,CCN1,SYT1,MCL1,HNRNPU,SERPINE2,GATM,NTNG1,LDLRAD4,RPL6,TUBB2A,DSCAM,CNRIP1,CALCRL,SLC1A3,FZD3,NTRK2,SLC6A1,UGDH,NRXN2,SRSF1,SRRM2,ROBO1,CHRM3,EGR1,CACNA1A,NRXN1,CELF2,NNAT,TUBB2B,NEFM,ATP6AP2,FGFR1,DMPK,CASK,TUBB3,SVBP,CHD1,SPRY2,EEF1A2,SPRED1,DTNA,TNR,MAP1B,PCDH15,KCNIP1,FOSB,TRIM9,FGF12,DNAJB1,GFRA1,PCDH19,SLC44A1,APP,EMC10,GPAA1,SOX10,SCN1A,COL11A1,NR3C1,DCX,CSPG4,DUSP6,EIF3F,SOX4,NEDD4L,LINGO1,SLC32A1,IER2,AKT3,SEMA3E,ASAH1,SF1,CSMD3,KCNQ2,GRIA3,HYI,PHF6,GRIA2,TRIO,CDKN1A,NLGN3,BSCL2,CC2D1A,DENND5A,GADD45G,JMJD1C,SOX6,AMD1,DYNC1I2,TUBB,SERTAD1,SSBP3,ATP2B1,OPHN1,ARX,ARC,EGR3,NAMPT,SCN2A,GAD2,EGR2,KDM6B	Functional
